class_id,class_name,group,samples,accuracy_baseline,accuracy_dcgfs,accuracy_delta,f1_baseline,f1_dcgfs,f1_delta
117,Clay colored Sparrow,普通非配对类,29,10.34,17.24,6.9,18.75,25.64,6.89
118,House Sparrow,普通非配对类,30,36.67,46.67,10.0,35.48,45.9,10.42
119,Field Sparrow,普通非配对类,29,72.41,68.97,-3.45,43.75,62.5,18.75
120,Fox Sparrow,普通非配对类,30,73.33,53.33,-20.0,55.7,65.31,9.61
121,Grasshopper Sparrow,普通非配对类,30,73.33,73.33,0.0,57.14,58.67,1.52
122,Harris Sparrow,普通非配对类,30,50.0,60.0,10.0,60.0,67.92,7.92
123,Henslow Sparrow,普通非配对类,30,40.0,63.33,23.33,46.15,62.3,16.14
124,Le Conte Sparrow,普通非配对类,29,58.62,65.52,6.9,56.67,67.86,11.19
125,Lincoln Sparrow,普通非配对类,29,51.72,65.52,13.79,57.69,66.67,8.97
126,Nelson Sharp tailed Sparrow,普通非配对类,30,50.0,50.0,0.0,47.62,58.82,11.2
127,Savannah Sparrow,普通非配对类,30,53.33,73.33,20.0,64.0,74.58,10.58
128,Seaside Sparrow,普通非配对类,30,73.33,76.67,3.33,55.0,69.7,14.7
129,Song Sparrow,普通非配对类,30,56.67,66.67,10.0,54.84,66.67,11.83
130,Tree Sparrow,普通非配对类,30,50.0,20.0,-30.0,44.78,31.58,-13.2
131,Vesper Sparrow,普通非配对类,30,60.0,66.67,6.67,59.02,60.61,1.59
132,White crowned Sparrow,普通非配对类,30,76.67,90.0,13.33,80.7,83.08,2.38
133,White throated Sparrow,普通非配对类,30,76.67,83.33,6.67,83.64,83.33,-0.3
134,Cape Glossy Starling,普通非配对类,30,76.67,80.0,3.33,83.64,81.36,-2.28
135,Bank Swallow,普通非配对类,30,43.33,36.67,-6.67,37.14,41.51,4.37
136,Barn Swallow,普通非配对类,30,63.33,70.0,6.67,56.72,67.74,11.03
137,Cliff Swallow,普通非配对类,30,50.0,63.33,13.33,50.0,57.58,7.58
138,Tree Swallow,普通非配对类,30,73.33,70.0,-3.33,72.13,77.78,5.65
139,Scarlet Tanager,普通非配对类,30,80.0,86.67,6.67,57.83,71.23,13.4
140,Summer Tanager,普通非配对类,30,33.33,73.33,40.0,50.0,83.02,33.02
141,Artic Tern,自动基座类,29,86.21,86.21,0.0,64.94,61.73,-3.21
142,Black Tern,普通非配对类,30,13.33,23.33,10.0,23.53,29.79,6.26
143,Caspian Tern,普通非配对类,30,30.0,30.0,0.0,31.58,30.51,-1.07
144,Common Tern,自动弱势目标类,30,13.33,20.0,6.67,20.0,24.49,4.49
145,Elegant Tern,普通非配对类,30,40.0,40.0,0.0,40.68,42.11,1.43
146,Forsters Tern,普通非配对类,30,60.0,36.67,-23.33,48.65,39.29,-9.36
147,Least Tern,普通非配对类,30,66.67,63.33,-3.33,63.49,61.29,-2.2
148,Green tailed Towhee,普通非配对类,30,70.0,86.67,16.67,76.36,81.25,4.89
149,Brown Thrasher,普通非配对类,29,58.62,89.66,31.03,62.96,78.79,15.82
150,Sage Thrasher,普通非配对类,30,90.0,80.0,-10.0,61.36,73.85,12.48
151,Black capped Vireo,普通非配对类,21,80.95,80.95,0.0,73.91,80.95,7.04
152,Blue headed Vireo,普通非配对类,30,80.0,76.67,-3.33,54.55,71.88,17.33
153,Philadelphia Vireo,普通非配对类,29,10.34,41.38,31.03,16.67,42.86,26.19
154,Red eyed Vireo,普通非配对类,30,60.0,63.33,3.33,32.14,43.18,11.04
