metric,base_mean,base_std,dcgfs_mean,dcgfs_std,delta_mean,delta_std
overall_a_acc,62.27848101265823,2.6672541146462665,64.9789029535865,2.2971573989563256,2.700421940928273,4.246327637268906
overall_c_acc,69.02509438152343,0.8327870308209363,68.69198312236287,1.0032641636949937,-0.33311125916056045,0.5654655609306569
macro_f1,42.370257392047854,5.306077949652427,44.025981494559176,4.13037131364495,1.6557241025113096,5.107515577797147
balanced_accuracy,43.06107467897133,4.783932183917815,44.012551581868216,4.545619240146291,0.9514769028968786,6.342876457522862
worst_class_acc,9.259259259259258,8.486251286955257,7.407407407407404,3.2075014954979237,-1.8518518518518536,6.415002990995839
selected_target_acc,62.27848101265823,2.6672541146462665,64.9789029535865,2.2971573989563256,2.700421940928273,4.246327637268906
selected_base_acc,68.8526065250203,4.550079681178845,72.10786021130849,1.4241992929181952,3.255253686288173,3.198775344751107
target_to_base_rate,23.881856540084385,1.2488311043838622,23.375527426160335,2.934234371428472,-0.5063291139240458,4.182964972622355
