metric,metric_zh,baseline,dcgfs,delta
overall_c_acc,整体概念准确率,0.8971519182405444,0.8948619877706001,-0.002289930469944333
target_c_acc,弱势目标类概念准确率,0.905420918367347,0.9103954081632653,0.004974489795918324
target_disc_c_acc,弱势目标类判别概念准确率,0.21643835616438356,0.31095890410958904,0.09452054794520548
heatmap_entropy,判别概念热图熵,0.9308348050531448,0.9398770907512002,0.009042285698055391
mask_compactness,概念区域紧凑度,0.11428571428571428,0.10714285714285714,-0.007142857142857145
bbox_energy_ratio,框内能量比例,0.6227524487076567,0.5983354999010843,-0.024416948806572424
original_acc,干预前目标样本准确率,0.19285714285714287,0.42857142857142855,0.23571428571428568
intervention_acc,概念干预后目标样本准确率,0.7785714285714286,0.8142857142857143,0.0357142857142857
intervention_gain,概念干预收益,0.5857142857142857,0.38571428571428573,-0.19999999999999996
