method,overall_acc,macro_f1,balanced_acc,worst_class_acc,selected_target_acc,selected_base_acc,target_to_base_rate,overall_concept_acc
SSCBM baseline,57.80,57.23,57.99,0.00,19.29,82.91,48.57,89.72
D-CGFS main w015,65.74,65.72,65.80,6.67,44.29,77.78,17.86,89.46
target_score_w015,66.00,65.96,66.04,10.00,44.29,78.63,19.29,89.46
syn_loss_w075,65.65,65.64,65.68,6.67,40.71,76.07,19.29,89.41
target_score_w015_syn_loss_w075,66.02,66.06,66.09,10.00,43.57,76.92,20.00,89.48
Reweighting,67.31,67.23,67.42,3.33,58.57,70.94,15.71,89.60
Class-balanced loss,67.31,67.23,67.42,3.33,58.57,70.94,15.71,89.60
