method,overall_acc,overall_concept_acc,macro_f1,balanced_acc,worst_class_acc,selected_target_acc,selected_base_acc,target_to_base_rate,note
SSCBM baseline,57.801173627890925,89.71519182405444,57.2300980604768,57.9930715397949,0.0,19.28571428571428,82.90598290598291,48.57142857142857,baseline
no confidence/pair quality filtering,65.61960648947188,89.37879086739977,65.58373255700536,65.66848837537111,6.66666666666666,43.57142857142857,66.66666666666666,16.42857142857142,去掉主方法的 pair-topk target/base score 筛选
pair-topk without base preservation,65.98205039696238,89.36415133882342,65.97078690893395,65.98925578894016,6.66666666666666,44.28571428571428,66.66666666666666,12.85714285714285,pair 内 top-k，但没有 base preservation
pair-topk + weak base preservation w005,66.01656886434243,89.4082240248533,65.89728806969902,66.03253937656604,6.66666666666666,42.85714285714285,71.7948717948718,17.14285714285714,较弱 base preservation
pair-topk + base preservation w015,65.74042112530203,89.46169682923221,65.72156417586953,65.79619111858914,6.66666666666666,44.28571428571428,77.77777777777779,17.85714285714285,base preservation 权重 0.15
main target_score_w015 + base preservation,65.65412495685192,89.48619877706001,65.65199293313582,65.71695861945409,10.0,42.85714285714285,77.77777777777779,20.71428571428571,当前论文主方法
