method,overall_acc,macro_f1,balanced_acc,worst_class_acc,selected_target_acc,selected_base_acc,target_to_base_rate,overall_concept_acc
SSCBM baseline,57.80,57.23,57.99,0.00,19.29,82.91,48.57,89.72
D-CGFS target_score_w015,66.00,65.96,66.04,10.00,44.29,78.63,19.29,89.46
dcgfs_cb_task_loss,66.12,66.11,66.15,10.00,41.43,76.07,19.29,89.45
dcgfs_syn_task_target_disc_mix,65.95,66.00,66.04,6.67,40.71,76.07,20.71,89.46
dcgfs_cb_task_target_disc_mix,66.24,66.22,66.31,6.67,40.00,77.78,20.71,89.48
dcgfs_cb_task_target_proto,66.22,66.26,66.30,6.67,40.00,77.78,20.71,89.47
